ASSINATURA;VENCIMENTO;FORNECEDOR;VALOR;OBJETIVO
16/01/2015;03/03/2015;G.R. BLOCO CARNAVALESCO GLOBO DE OURO;26000;O PRESENTE CONVÊNIO TEM POR OBJETO O REPASSE A TÍTULO DE SUBVENÇÃO PARA O BLOCO. QUE DEVERÁ REALIZAR O DESFILE DE CARNAVAL DE 2015. NA AVENIDA ALBERTO BRAUNE. Nº 225. NESTA CIDADE CONFORME O DESCRITO NO PLANO DE TRABALHO DE FLS. 04/05 - DO PROCESSO ADMINI
16/01/2015;06/03/2015;G.R. BLOCO CARNAVALESCO UNIDOS DO IMPERADOR;26000;O PRESENTE CONVÊNIO TEM POR OBJETO O REPASSE A TÍTULO DE SUBVENÇÃO PARA BLOCO. QUE DEVERÁ REALIZAR O DESFILE  NO CARNAVAL DE 2015. NA AVENIDA ALBERTO BRAUNE. Nº 225. NESTA CIDADE CONFORME O DESCRITO NO PLANO DE TRABALHO DE FLS. 04/05 - DO PROCESSO ADMINIS
16/01/2015;06/03/2015;G.R.E.S UNIDOS DA SAUDADE;52000;O PRESENTE CONVÊNIO TEM POR OBJETO O REPASSE A TÍTULO DE SUBVENÇÃO PARA A ESCOLA. QUE DEVERÁ REALIZAR O DESFILE DE CARNAVAL DE 2015. NA AVENIDA ALBERTO BRAUNE.Nº 225. NESTA CIDADE CONBFORME O DESCRITO NO PLANO DE TRABALHO DEB FLS. 04 - DO PROCESSO ADMINI
24/01/2015;23/01/2016;MUNICÍPIO DE NOVA FRIBURGO;1;O PRESENTE CONVÊNIO TEM POR OBJETO A COOPERAÇÃO E PARCERIA ENTRE CONVENENTES COM O OBJETIVO DE VIABILIZAR A PRESTAÇÃO DE SERVIÇO MÉDICO À POPULAÇÃO NECESSITADA DE NOVA FRIBURGO.  CUMPRE  À CONVENIADA A RESPONSABILIDADE PELO ATENDIMENTO ABULATORIAL E ENC
13/02/2015;31/12/2015;PREFEITURA MUNICIPAL DE NOVA FRIBURGO;66000;O PRESENTE CONVENIO TEM POR OBJETO SUBVENCIONAR A CONVENIADA NA MANUTENÇÃO DO PLENO DESENVOLVIMENTO DAS SUAS ATIVIDADES. COM TODAS AS ETAPAS E METAS. CONFORME O DISPOSTO NO PLANO DE TRABALHO DESCRITO  ÀS FLS. 04/09 DO  PROCESSO ADMINISTRATIVO Nº 29704/201
10/02/2015;31/12/2015;PREFEITURA MUNICIPAL DE NOVA FRIBURGO;292747.92;O PRESENTE CONVÊNIO TEM POR OBJETO SUBVENCIONAR A CONVENIADA NA MANUTENÇÃO  DO PLENO DESENVOLVIMENTO DE SUAS ATIVIDADES. COM TODAS AS ETAPAS E METAS CONFORME O DISPOSTO NO PLANO DE TRABALHO DESCRITO  ÀS FLS. 75/77 DO PROCESSO ADMINISTRATIVO Nº 29702/14.
13/02/2015;31/12/2015;PREFEITURA MUNICIPAL DE NOVA FRIBURGO;108407;O PRESENTE CONVÊNIO TEM POR OBJETO SUBVENCIONAR A CONVENIADA NA MANUTENÇÃO DO PLENO DESENVOLVIMENTO DE SUAS ATIVIDADES. COM TODAS AS ETAPAS E METAS. CONFORME O DISPOSTO NO PLANO DE TRABALHO DESCRITO ÀS FLS. 159/160 DO PROCESSO ADMINISTRATIVO Nº 30751/201
13/02/2015;31/12/2015;MUNICÍPIO DE NOVA FRIBURGO;55000;O PRESENTE CONVÊNIO TEM POR OBJETO SUBVENCIONAR O CONVENIADO NA MANUTENÇÃO  DO PLENO DESENVOLVIMENTO DE SUAS ATIVIDADES. COM TODAS AS ETAPAS  E METAS. CONFORME O DISPOSTO NO PLANO DE TRABALHO DESCRITO ÀS FLS. 05/11 DO PROCESSO ADMINISTRATIVO Nº 29703/14.
13/02/2015;31/12/2015;MUNICÍPIO DE NOVA FRIBURGO;134358.4;O PRESENTE CONVÊNIO TEM POR OBJETO SUBVENCIONAR A CONVENIADA NA MANUTENÇÃO DO PLENO DESENVOLVIMENTO DA SUAS ATIVIDADES COM TODAS AS ETAPAS E METAS. CONFORME O DISPOSTO NO PLANO DE TRABALHO DESCRITO ÀS FLS. 117/119  DO  PROCESSO ADMINISTRATIVO Nº 30156/14.
01/02/2015;31/12/2016;MUNICÍPIO DE NOVA FRIBURGO;1;O CONVÊNIO TEM POR OBJETO A COOPERAÇÃO TÉCNICA. CIENTÍFICA E PROFISSIONAL ENTRE OS SIGNATÁRIOS. POSSIBILITANDO A CESSÃO E PERMUTA DE FUNCIONÁRIOS PÚBLICOS ESTÁVEIS. VIABILIZANDO. DESTA FORMA. A INTEGRAÇÃO ENTRE OS CONVENENTES.
